x,y,threat
-2.3,-4.8,1
-2.2,-4.8,1
-2.1,-4.8,1
-2,-4.8,1
-1.9,-4.8,1
-1.8,-4.8,1
-1.7,-4.8,1.00001
-1.6,-4.8,1.00001
-1.5,-4.8,1.00002
-1.4,-4.8,1.00004
-1.3,-4.8,1.00007
-1.2,-4.8,1.00013
-1.1,-4.8,1.00023
-1,-4.8,1.0004
-0.9,-4.8,1.00069
-0.8,-4.8,1.00115
-0.7,-4.8,1.00189
-0.6,-4.8,1.00302
-0.5,-4.8,1.00473
-0.4,-4.8,1.00724
-0.3,-4.8,1.01084
-0.2,-4.8,1.01587
-0.1,-4.8,1.02274
0,-4.8,1.03185
0.1,-4.8,1.04363
0.2,-4.8,1.05845
0.3,-4.8,1.07658
0.4,-4.8,1.09812
0.5,-4.8,1.12296
0.6,-4.8,1.15068
0.7,-4.8,1.18059
0.8,-4.8,1.21167
0.9,-4.8,1.24263
1,-4.8,1.272
1.1,-4.8,1.2982
1.2,-4.8,1.31973
1.3,-4.8,1.33525
1.4,-4.8,1.3438
1.5,-4.8,1.34479
1.6,-4.8,1.33818
1.7,-4.8,1.32439
1.8,-4.8,1.30431
1.9,-4.8,1.2792
2,-4.8,1.25053
2.1,-4.8,1.21987
2.2,-4.8,1.18872
2.3,-4.8,1.15844
2.4,-4.8,1.13011
2.5,-4.8,1.10452
2.6,-4.8,1.08214
2.7,-4.8,1.06317
2.8,-4.8,1.04754
2.9,-4.8,1.03503
3,-4.8,1.02528
3.1,-4.8,1.01789
3.2,-4.8,1.01242
3.3,-4.8,1.00848
3.4,-4.8,1.00571
3.5,-4.8,1.0038
3.6,-4.8,1.00252
3.7,-4.8,1.00167
3.8,-4.8,1.00112
3.9,-4.8,1.00077
4,-4.8,1.00055
4.1,-4.8,1.0004
4.2,-4.8,1.00031
4.3,-4.8,1.00024
4.4,-4.8,1.0002
4.5,-4.8,1.00016
4.6,-4.8,1.00014
4.7,-4.8,1.00011
4.8,-4.8,1.00009
4.9,-4.8,1.00008
5,-4.8,1.00006
-5,-4.7,1
-4.9,-4.7,1
-4.8,-4.7,1
-4.7,-4.7,1
-4.6,-4.7,1
-4.5,-4.7,1
-4.4,-4.7,1
-4.3,-4.7,1
-4.2,-4.7,1
-4.1,-4.7,1
-4,-4.7,1
-3.9,-4.7,1
-3.8,-4.7,1
-3.7,-4.7,1
-3.6,-4.7,1
-3.5,-4.7,1
-3.4,-4.7,1
-3.3,-4.7,1
-3.2,-4.7,1
-3.1,-4.7,1
-3,-4.7,1
-2.9,-4.7,1
-2.8,-4.7,1
-2.7,-4.7,1
-2.6,-4.7,1
-2.5,-4.7,1
-2.4,-4.7,1
-2.3,-4.7,1
-2.2,-4.7,1
-2.1,-4.7,1
-2,-4.7,1
-1.9,-4.7,1
-1.8,-4.7,1
-1.7,-4.7,1.00001
-1.6,-4.7,1.00002
-1.5,-4.7,1.00003
-1.4,-4.7,1.00006
-1.3,-4.7,1.0001
-1.2,-4.7,1.00019
-1.1,-4.7,1.00033
-1,-4.7,1.00058
-0.9,-4.7,1.001
-0.8,-4.7,1.00167
-0.7,-4.7,1.00273
-0.6,-4.7,1.00437
-0.5,-4.7,1.00683
-0.4,-4.7,1.01046
-0.3,-4.7,1.01567
-0.2,-4.7,1.02295
-0.1,-4.7,1.03287
0,-4.7,1.04604
0.1,-4.7,1.06307
0.2,-4.7,1.08449
0.3,-4.7,1.1107
0.4,-4.7,1.14184
0.5,-4.7,1.17774
0.6,-4.7,1.21782
0.7,-4.7,1.26106
0.8,-4.7,1.30598
0.9,-4.7,1.35074
1,-4.7,1.39319
1.1,-4.7,1.43107
1.2,-4.7,1.46219
1.3,-4.7,1.48464
1.4,-4.7,1.49698
1.5,-4.7,1.49843
1.6,-4.7,1.48887
1.7,-4.7,1.46894
1.8,-4.7,1.43992
1.9,-4.7,1.40363
2,-4.7,1.36219
2.1,-4.7,1.31786
2.2,-4.7,1.27285
2.3,-4.7,1.22908
2.4,-4.7,1.18813
2.5,-4.7,1.15113
2.6,-4.7,1.11879
2.7,-4.7,1.09136
2.8,-4.7,1.06877
2.9,-4.7,1.05068
3,-4.7,1.0366
3.1,-4.7,1.02591
3.2,-4.7,1.018
3.3,-4.7,1.01231
3.4,-4.7,1.0083
3.5,-4.7,1.00554
3.6,-4.7,1.00368
3.7,-4.7,1.00246
3.8,-4.7,1.00166
3.9,-4.7,1.00115
4,-4.7,1.00082
4.1,-4.7,1.00061
4.2,-4.7,1.00047
4.3,-4.7,1.00037
4.4,-4.7,1.0003
4.5,-4.7,1.00025
4.6,-4.7,1.00021
4.7,-4.7,1.00017
4.8,-4.7,1.00015
4.9,-4.7,1.00012
5,-4.7,1.0001
-5,-4.6,1
-4.9,-4.6,1
-4.8,-4.6,1
-4.7,-4.6,1
-4.6,-4.6,1
-4.5,-4.6,1
-4.4,-4.6,1
-4.3,-4.6,1
-4.2,-4.6,1
-4.1,-4.6,1
-4,-4.6,1
-3.9,-4.6,1
-3.8,-4.6,1
-3.7,-4.6,1
-3.6,-4.6,1
-3.5,-4.6,1
-3.4,-4.6,1
-3.3,-4.6,1
-3.2,-4.6,1
-3.1,-4.6,1
-3,-4.6,1
-2.9,-4.6,1
-2.8,-4.6,1
-2.7,-4.6,1
-2.6,-4.6,1
-2.5,-4.6,1
-2.4,-4.6,1
-2.3,-4.6,1
-2.2,-4.6,1
-2.1,-4.6,1
-2,-4.6,1
-1.9,-4.6,1
